순위,제목,저자,출판사,요약
1,Clean Code 클린 코드 ,로버트 C. 마틴,인사이트,『Clean Code 클린 코드 』은 오브젝트 멘토 Object Mentor 의 동료들과 힘을 모아 ‘개발하며’ 클린 코드를 만드는 최상의 애자일 기법을 소개하고 있다. 소프트웨어 장인 정신의 가치를 심어 주며 프로그래밍
2,개발자의 글쓰기,김철수,위키북스,"이 책은 개발자의 글쓰기 능력을 종합적으로 향상하기 위한 책이다. 코드 안에서는 함수와 변수 이름을 짓는 것부터 주석 쓰는 법, 에러 메시지 쓰는 법까지 알려준다. 코드 밖에서는 릴리스 노트, 장애 보고서,"
3,린 스타트업,에릭 리스,인사이트,"지속적 혁신을 실현하는 창업의 과학『린 스타트업』. 불확실한 창업 환경에서 지속적 혁신을 실현할 수 있는 창업 방법은 무엇일까? 이 책은 이러한 질문의 대안으로, 최근 실리콘밸리를 중심으로 주목을 받고"
4,커리어 스킬,존 손메즈,길벗,"전 세계 많은 사람이 같은 고민을 하고, 같은 질문을 던졌다. 이에 대한 대답을 모은 이 책은 출간 즉시 아마존 베스트셀러에 올랐다. 왜 수많은 사람이 이 책을 반복해서 읽고, 별점 5점을 주고, 주변 사람들에게"
5,그림으로 배우는 클라우드,하야시 미사유키,영진닷컴,"클라우드 컴퓨팅은 현재 비즈니스와 일상생활에서 빼놓을 수 없는 존재가 되었다. 애플리케이션 개발, 웹 서비스 등을 넘어서 최근에는 기업용 정보 시스템과 IoT Internet of Things  플랫폼 등으로 이용 범위가"
6,디지털 마케팅과 페이스북 광고,이민규,디지털북스,"마케팅의 다변화가 이루어지는 시대, 트랜디하고 효과적인 마케팅으로 높은 성과를 이뤄낸 이민규 마케터의 실전경험을 이 책 한권에 담았다. 마케팅 베테랑인 그가 어떠한 방식으로 디지털 마케팅에 접근하는지,"
7,테스트 주도 개발 프로그램 프로그래밍 프로그래머 4 ,켄트 벡,인사이트,"테스트 주도 개발은 테스트가 개발을 주도하는 방법이다. 테스트가 개발을 주도한다는 것은 테스트가 코딩의 방향을 이끌어 간다는 말이다. 테스트를 실패하는 코드가 없으면 코딩을 하지 않고, 코드상에 중복이"
8,실용주의 프로그래머,앤드류 헌트,인사이트,"[실용주의 프로그래머]는 초보를 벗어나고자 하는 프로그래머를 위해 저자들의 오랜 성찰을 통해 정제한 지혜와 구체적인 실천법으로 안내한다. 코딩 가이드라인, 설계에 대한 격언, 프로젝트 관리에 대한 조언,"
9,그로스 해킹 Growth Hacking ,라이언 홀리데이,길벗,‘그로스 해킹’이라는 단어가 생소한가? 그렇다하더라도 이메일의 끝에 “아이폰에서 보낸 메시지입니다”라는 문구를 본 이들은 많을 것이다. 이 한 줄의 문구는 이메일을 받는 이들에게 아이폰을 홍보하는
10,개발자도 궁금한 IT 인프라,정송화,제이펍,"최강 조합의 IT 인프라 만담가 3인이 뭉쳤다!

이 책은 IT 인프라 기술에 관심이 있거나 입문하려는 분들에게 필요한 기술과 현장의 생생한 이야기 등 꼭 알려주고 싶은 이야기를 담았습니다. IT 인프라의 기초"
11,창업의 과학,다도코로 마사유키,한빛미디어,"스타트업이 겪는 문제에는 반드시 이유가 있다!
창업을 시작해 성공에 이르는 필수 과정을 스무 단계로 소개한다. 당신의 스타트업이 지금 문제를 겪고 있다면 어떤 단계를 생략했거나 무시하고 지나갔을"
12,피플웨어 3판 ,톰 드마르코,인사이트,『피플웨어』는 소프트웨어의 주요 쟁점을 기술이 아닌 사람에 있다고 이야기하는 책이다. 소프트웨어 개발을 사회적이고 인간적으로 풀어나가는 것이 인간적이고 생산적인 작업 환경을 만드는 방법이라고
13,컴퓨터과학이 여는 세계,이광근,인사이트,"『컴퓨터과학이 여는 세계』는 정보이론, 암호, 개인인증 등 컴퓨터과학이 보여주는 풍경 아래 흐르는, 원천 아이디어가 나온 이야기와 의미를 들려준다. 원천지식의 동기와 근본을 꿰뚫는 시각을 튼튼히 한다면"
14,미래의 핵심 기술,Mitsumura Naoki,정보문화사,"AI, IoT, 가상 통화 등 다양한 혁신적인 기술이 등장했습니다. 하지만 이것들은 그 배경에 있는 핵심 기술을 응용한 예일 뿐입니다. 그래서 여기서는 앞으로의 사회에 결정적인 영향을 미칠 5개의 가장 중요한"
15,이펙티브 프로그래밍 코딩 호러의  위키북스 IT Leaders 시리즈 16 ,제프 앳우드,위키북스,프로그래밍』. ‘코딩 호러’와 ‘스택 오버플로우’ 두 사이트를 탄생시킨 저자의 소프트웨어 개발과 관련된 지혜와 조언이 가감 없이 담겨 있다. 그동안 코딩 호러에 실린 글 중에서 엄선한 글만 실린 이 책은
16,클라우드 도입 실천 전략,모어 압둘라,에이콘출판,"IBM 클라우드 개러지 팀의 방법과 노하우를 통해 클라우드 도입 전략을 알아보는 책이다. 애자일 개발과 데브옵스, 린 스타트업 등 업계의 모범 사례를 통합해 기업이 클라우드를 도입하고 애플리케이션 설계,"
17,된다! 일당백 마케터의 업무 자동화,박주훈,이지스퍼블리싱,"지메일 자동 답변부터 SNS 일괄 업로드까지!
오늘 당장 업무가 빨라지는 온라인 마케팅 입문서

이 책은 현직 마케터가 썼다. 마케팅 현장의 고충을 누구보다도 잘 알기에 뜬구름 잡는 이론이 아닌 당장"
18,최신 IT 트렌드 그림 한 장으로 보는  개정증보판 ,Saito Masanori,정보문화사,대부분 사람들이 IT가 중요하다는 것은 알지만 실제로 실생활과 비즈니스에 끼치는 IT의 영향력에 대해서는 무감각한 경우가 많다. IoT와 인공지능은 빠른 시간 내 놀랄 정도로 발전하여 실용화도 급속히 진행되고
19,생각하는 프로그래밍 프로그램 프로그래밍 프로그래머 ,존 벤틀리,인사이트,"프로그래밍 본질에 관한 15가지 에세이 『생각하는 프로그래밍』. ACM의 전통 있는 간행물 CACM에 연재된 《Programming Pearls》의 칼럼을 엮은 것으로, 몇 개의 간단한 알고리즘 및 데이터 구조를 통해 문제를"
20,페이스북 마케팅 백만 방문자와 소통하는  2판 ,종유진,한빛미디어,"이 책은 1인 미디어 시대에 제품 판매나 브랜드 구축을 위해 필요한 페이스북, 그중에서도 페이스북 페이지와 광고 최적화를 위한 거의 모든 기능을 담고 있다. 지난 5년 동안 필자들이 페이스북에서 친구 관계를"
21,MANAGE IT 매니지 잇  위키북스 IT LEADERS 시리즈 10 ,요한나 로스먼,위키북스,"최신 기법으로 배우는 실용주의 프로젝트 관리『Manage it! 매니지 잇 』. 이 책은 프로젝트의 맥락을 충분하게 살피고, 프로젝트를 성공으로 이끄는 관리방법을 선택해서 적용하는 방법을 담고 있다. 프로젝트"
22,4차 산업혁명을 이끌 IT 과학이야기 누구나 읽을 수 있는 IT 과학이야기 2 ,이재영,로드북,"4차 산업혁명이 화두입니다. 인공지능에 직업을 빼앗길지도 모른다는 공포가 있습니다. 운전자 없는 자동차의 신세계가 다가오고 있습니다. 로봇은 이미 생활 속 깊숙이 들어와 있습니다. 자, 우리는 무엇을"
